level_in_m,rain,flow_m2ssqkm,elevation,flood_label
0.45,0,1.091,10,0
0.69,0,2.186,10,0
0.6,0,1.755,10,0
0.63,0,1.901,10,0
0.39,0,0.853,10,0
0.34,0,0.67,10,0
0.29,0,0.51,10,0
0.74,0,2.485,10,0
0.52,0,1.383,10,0
0.4,0,0.883,10,0
0.73,0,2.386,10,0
0.32,0,0.594,10,0
0.56,2.4,1.543,10,0
0.69,0.6,2.216,10,0
0.6,0,1.712,10,0
0.73,0,2.388,10,0
0.24,0,0.367,10,0
0.72,0,2.364,10,0
0.39,0,0.842,10,0
0.55,0,1.482,10,0
0.47,0,1.148,10,0
0.43,0,0.981,10,0
0.51,0,1.339,10,0
0.59,0,1.705,10,0
0.48,0,1.2,10,0
0.56,0,1.525,10,0
0.39,0,0.831,10,0
0.22,0,0.321,10,0
0.51,0,1.341,10,0
0.59,1.4,1.704,10,0
0.73,0,2.382,10,0
0.39,0,0.834,10,0
0.55,0,1.499,10,0
0.69,0,2.173,10,0
0.33,0,0.652,10,0
0.39,0,0.843,10,0
0.24,0,0.365,10,0
0.25,0,0.405,10,0
0.52,0,1.37,10,0
0.64,0,1.924,10,0
0.3,0,0.558,10,0
0.5,0,1.266,10,0
0.7,0,2.259,10,0
0.56,0,1.565,10,0
0.67,0,2.106,10,0
0.74,0,2.459,10,0
0.17,0,0.22,10,0
0.68,0,2.116,10,0
0.34,0,0.67,10,0
0.44,0,1.054,10,0
0.68,0,2.156,10,0
0.55,0,1.512,10,0
0.57,0,1.607,10,0
0.52,0,1.346,10,0
0.72,0,2.367,10,0
0.45,0,1.078,10,0
0.19,0,0.253,10,0
0.72,0,2.333,10,0
0.58,0,1.66,10,0
0.18,0,0.229,10,0
0.63,0,1.882,10,0
0.63,0,1.904,10,0
0.6,0,1.749,10,0
0.27,0,0.46,10,0
0.65,0,1.993,10,0
0.39,0,0.857,10,0
0.32,0,0.599,10,0
0.18,0,0.231,10,0
0.31,0,0.571,10,0
0.29,0,0.517,10,0
0.7,0,2.249,10,0
0.56,0,1.558,10,0
0.35,0,0.717,10,0
0.72,0,2.353,10,0
0.7,0,2.223,10,0
0.41,0,0.917,10,0
0.59,0,1.672,10,0
0.4,0,0.87,10,0
0.57,0,1.572,10,0
0.63,0,1.87,10,0
0.39,0,0.846,10,0
0.57,0,1.613,10,0
